area_type,availability,location,bhk,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,1005.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Jakkur,2,1417.0,2.0,3.0,75.0
Plot  Area,18-Jan,TC Palaya,3,1475.0,3.0,1.0,98.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4,1863.0,3.0,2.0,104.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1425.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Vijayanagar,3,1450.0,3.0,0.0,100.0
Super built-up  Area,Ready To Move,Kothanur,3,1847.0,3.0,2.0,105.0
Super built-up  Area,Ready To Move,AECS Layout,2,1100.0,2.0,3.0,45.0
Super built-up  Area,20-Dec,Kanakpura Road,1,525.0,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Mallasandra,3,1665.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Begur,4,1664.0,4.0,3.0,65.0
Super built-up  Area,Ready To Move,JP Nagar,3,1850.0,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Panathur,2,1438.0,2.0,3.0,100.0
Super built-up  Area,18-Apr,Yelahanka,2,1350.0,2.0,1.0,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3,1550.0,3.0,3.0,67.0
Super built-up  Area,18-Apr,Malleshpalya,2,1140.0,2.0,2.0,46.5
Super built-up  Area,Ready To Move,Whitefield,2,1280.0,2.0,2.0,75.0
Built-up  Area,Ready To Move,Munnekollal,2,1170.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Hennur Road,2,1385.0,2.0,1.0,83.09
Super built-up  Area,18-Apr,Electronic City,2,1128.0,2.0,1.0,65.0
Plot  Area,Ready To Move,Marathahalli,2,1200.0,2.0,2.0,128.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,2390.0,3.0,2.0,415.0
Plot  Area,Ready To Move,Giri Nagar,4,2400.0,4.0,1.0,400.0
Super built-up  Area,Ready To Move,Haralur Road,3,1464.0,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,1200.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kaggalipura,3,1150.0,2.0,1.0,55.0
Super built-up  Area,20-Mar,Sarjapur  Road,2,1000.0,2.0,1.0,67.0
Plot  Area,Ready To Move,Haralur Road,4,2650.0,4.0,2.0,198.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1192.0,2.0,2.0,74.0
Super built-up  Area,Ready To Move,Ulsoor,3,2135.0,3.0,2.0,215.0
Super built-up  Area,19-Dec,Whitefield,2,1173.0,2.0,1.0,58.0
Built-up  Area,Ready To Move,Uttarahalli,2,1020.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Thigalarapalya,4,3122.0,6.0,2.0,230.0
Super built-up  Area,Ready To Move,Somasundara Palya,3,1600.0,3.0,3.0,64.0
Super built-up  Area,Ready To Move,Devarachikkanahalli,2,1250.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1325.0,2.0,2.0,76.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
Super built-up  Area,21-Dec,Kanakpura Road,1,525.0,2.0,2.0,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,1200.0,2.0,2.0,65.0
Super built-up  Area,18-Jun,Bommasandra,3,1260.0,3.0,1.0,49.36
Super built-up  Area,Ready To Move,Harlur,2,1508.0,2.0,1.0,77.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1388.0,2.0,3.0,57.0
Super built-up  Area,18-May,Electronic City Phase II,1,630.0,1.0,1.0,28.35
Super built-up  Area,Ready To Move,Kodihalli,4,3252.0,5.0,3.0,335.0
Super built-up  Area,18-Aug,Magadi Road,2,1116.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Narayanapura,2,1308.0,2.0,2.0,89.04
Built-up  Area,Ready To Move,Bannerghatta Road,1,500.0,1.0,1.0,18.5
Super built-up  Area,Ready To Move,Hennur,2,1075.0,2.0,1.0,52.0
Super built-up  Area,18-Mar,Chandapura,1,530.0,1.0,0.0,11.66
Built-up  Area,Ready To Move,Bellandur,2,1205.0,2.0,3.0,66.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,KR Puram,2,930.0,2.0,2.0,39.0
Super built-up  Area,Ready To Move,Balagere,2,1380.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,4,2483.0,5.0,2.0,212.0
Built-up  Area,Ready To Move,Kodigehaali,2,1166.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1050.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Begur Road,2,1200.0,2.0,2.0,46.8
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,1600.0,2.0,1.0,108.0
Super built-up  Area,Ready To Move,Billekahalli,3,1935.0,3.0,2.0,110.0
Super built-up  Area,18-May,8th Phase JP Nagar,1,451.0,1.0,0.0,29.9
Super built-up  Area,Ready To Move,Electronic City,3,1800.0,3.0,2.0,95.0
Super built-up  Area,18-May,Jalahalli,3,1400.0,3.0,0.0,77.0
Super built-up  Area,Ready To Move,Hegde Nagar,3,1801.0,3.0,2.0,115.0
Built-up  Area,Ready To Move,Mahadevpura,2,1451.0,2.0,2.0,90.0
Plot  Area,19-Jan,Anekal,2,1200.0,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Begur Road,2,1160.0,2.0,2.0,44.0
Built-up  Area,Ready To Move,Kengeri,2,1000.0,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Kanakpura Road,2,950.0,2.0,1.0,40.0
Built-up  Area,Ready To Move,Vijayanagar,3,1580.0,2.0,0.0,134.0
Super built-up  Area,21-Jun,Vijayanagar,3,1826.0,3.0,2.0,121.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1245.0,2.0,1.0,94.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1145.0,2.0,2.0,45.79
Super built-up  Area,Ready To Move,Sompura,2,825.0,2.0,1.0,33.0
Super built-up  Area,18-Aug,Yeshwanthpur,3,1693.0,3.0,3.0,108.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1113.27,2.0,2.0,53.0
Built-up  Area,Ready To Move,Doddathoguru,2,1050.0,2.0,1.0,32.0
Built-up  Area,Ready To Move,Dodda Nekkundi,2,1260.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Hosur Road,2,1656.0,2.0,1.0,120.0
Super built-up  Area,Ready To Move,Chandapura,3,1208.0,3.0,1.0,45.0
Super built-up  Area,Ready To Move,Whitefield,3,1910.0,3.0,2.0,161.0
Super built-up  Area,Ready To Move,Whitefield,4,3252.0,4.0,1.0,230.0
Plot  Area,Ready To Move,Battarahalli,2,1200.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1175.0,2.0,1.0,82.0
Plot  Area,Ready To Move,Bannerghatta Road,4,1200.0,2.0,0.0,125.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,2390.0,3.0,2.0,410.0
Super built-up  Area,19-Jan,Rajaji Nagar,7,12000.0,6.0,3.0,2200.0
Super built-up  Area,Ready To Move,Kengeri,2,750.0,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,1550.0,3.0,3.0,64.5
Super built-up  Area,Ready To Move,Billekahalli,2,1125.0,2.0,2.0,62.0
Plot  Area,Ready To Move,Nagarbhavi,3,1350.0,3.0,2.0,150.0
Plot  Area,17-Dec,Anandapura,2,1000.0,2.0,1.0,55.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2,1090.0,2.0,2.0,31.48
Plot  Area,Ready To Move,TC Palaya,2,1200.0,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Budigere,3,1991.0,4.0,2.0,103.0
Super built-up  Area,18-Oct,Bommasandra,2,1060.0,2.0,1.0,26.5
Super built-up  Area,Ready To Move,Ambalipura,2,1105.0,2.0,1.0,75.0
Built-up  Area,Ready To Move,Hoodi,2,985.0,2.0,2.0,67.0
Super built-up  Area,17-Jul,Balagere,3,1590.0,3.0,2.0,79.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2,1120.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Marathahalli,3,1933.0,3.0,2.0,140.0
Built-up  Area,16-Mar,Hosur Road,2,1194.0,2.0,0.0,69.0
Super built-up  Area,Ready To Move,Brookefield,2,1150.0,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Yelenahalli,2,1240.0,2.0,2.0,47.12
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1419.0,2.0,2.0,48.1
Super built-up  Area,Ready To Move,Dasanapura,2,708.0,1.0,1.0,40.0
Plot  Area,Ready To Move,Kasavanhalli,3,1000.0,4.0,3.0,110.0
Plot  Area,Ready To Move,Whitefield,4,11890.0,4.0,3.0,700.0
Super built-up  Area,Ready To Move,Bellandur,2,1250.0,2.0,1.0,76.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1400.0,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1670.0,2.0,3.0,57.0
Super built-up  Area,Ready To Move,Ardendale,3,1750.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Vittasandra,2,1404.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hoodi,3,1715.0,2.0,2.0,95.0
Built-up  Area,18-Apr,Electronic City,1,630.0,1.0,1.0,34.65
Super built-up  Area,Ready To Move,Harlur,3,1752.12,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Hulimavu,3,1650.0,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1295.0,2.0,1.0,55.47
Plot  Area,Ready To Move,Giri Nagar,3,1800.0,3.0,2.0,252.0
Super built-up  Area,18-Sep,Sarjapur  Road,2,1346.0,2.0,1.0,74.03
Super built-up  Area,Ready To Move,Hormavu,2,1150.0,2.0,2.0,55.0
Super built-up  Area,18-May,Chandapura,3,1190.0,2.0,2.0,30.35
Super built-up  Area,18-Apr,Marathahalli,2,950.0,2.0,1.0,46.96
Super built-up  Area,Ready To Move,Harlur,3,2450.0,3.0,0.0,120.0
Super built-up  Area,18-May,Electronic City Phase II,3,1220.0,2.0,1.0,35.23
Built-up  Area,Ready To Move,Padmanabhanagar,2,1020.0,2.0,2.0,63.0
Built-up  Area,Ready To Move,Chikkalasandra,2,1100.0,2.0,2.0,50.0
