area_type,availability,location,bhk,total_sqft,bath,balcony,price_per_sqft,price
Built-up  Area,Ready To Move,ISRO Layout,6,4400.0,6.0,3.0,5681.818181818182,250.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3,1660.0,2.0,2.0,6325.301204819277,105.0
Built-up  Area,18-Oct,Hennur Road,4,3203.5,2.0,2.0,7007.960043702201,224.5
Super built-up  Area,19-Mar,Yelahanka,2,1326.0,2.0,2.0,5882.35294117647,78.0
Super built-up  Area,Ready To Move,Garudachar Palya,3,1325.0,2.0,2.0,4588.679245283019,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3,1499.0,5.0,2.0,6804.536357571715,102.0
Built-up  Area,Ready To Move,Hegde Nagar,6,3000.0,7.0,2.0,7000.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,1665.0,3.0,2.0,5285.285285285286,88.0
Super built-up  Area,17-Sep,Dasanapura,2,708.0,2.0,2.0,5225.988700564972,37.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,1060.0,2.0,2.0,5477.358490566037,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6,710.0,6.0,3.0,22535.211267605635,160.0
Built-up  Area,Ready To Move,Sanjay nagar,2,1000.0,2.0,2.0,7000.0,70.0
Super built-up  Area,18-Dec,Electronic City,2,1000.0,2.0,1.0,2888.0,28.88
Super built-up  Area,Ready To Move,Mysore Highway,3,1450.0,2.0,2.0,4827.586206896552,70.0
Plot  Area,Ready To Move,ISRO Layout,4,1200.0,4.0,2.0,12916.666666666666,155.0
Super built-up  Area,17-Aug,Thanisandra,2,1296.0,2.0,3.0,6172.83950617284,80.0
Super built-up  Area,Ready To Move,Domlur,3,1540.0,3.0,2.0,5844.1558441558445,90.0
Plot  Area,Ready To Move,Kengeri,4,2894.0,4.0,1.0,8465.791292328957,245.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1330.0,2.0,1.0,3609.0225563909776,48.0
Built-up  Area,Ready To Move,Devasthanagalu,2,1200.0,2.0,1.0,5416.666666666667,65.0
Built-up  Area,Ready To Move,T Dasarahalli,3,1200.0,3.0,1.0,7500.0,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,2502.0,3.0,3.0,5515.587529976019,138.0
Built-up  Area,Ready To Move,Chandapura,2,650.0,1.0,1.0,2615.3846153846152,17.0
Plot  Area,Ready To Move,Kothanur,3,2400.0,2.0,1.0,6250.0,150.0
Super built-up  Area,Ready To Move,Green View Layout,2,1007.0,2.0,2.0,4270.109235352532,43.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2,1200.0,2.0,2.0,4166.666666666667,50.0
Super built-up  Area,Ready To Move,Peenya,2,966.0,2.0,2.0,5165.631469979296,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3,1630.0,2.0,1.0,6012.269938650306,98.0
Built-up  Area,Ready To Move,Rajaji Nagar,3,1640.0,3.0,2.0,13963.414634146342,229.0
Built-up  Area,Ready To Move,Jalahalli West,2,782.0,2.0,2.0,7120.204603580562,55.68
Super built-up  Area,19-Apr,Devanahalli,2,1260.0,2.0,2.0,5300.0,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3,1800.0,3.0,3.0,6666.666666666667,120.0
Super built-up  Area,Ready To Move,Byatarayanapura,3,1413.0,2.0,2.0,5307.855626326964,75.0
Super built-up  Area,Ready To Move,Whitefield,2,1116.0,2.0,1.0,4651.433691756272,51.91
Super built-up  Area,Ready To Move,Electronic City,3,1530.0,2.0,1.0,3000.0,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4,3700.0,4.0,1.0,6081.081081081081,225.0
Built-up  Area,Ready To Move,Sarjapur  Road,3,2497.0,3.0,2.0,5606.728073688426,140.0
Super built-up  Area,Ready To Move,Kengeri,3,1540.0,2.0,3.0,4155.8441558441555,64.0
Super built-up  Area,18-Dec,Thanisandra,3,1436.0,3.0,1.0,5205.431754874652,74.75
Super built-up  Area,18-Jun,Malleshwaram,2,1100.0,2.0,2.0,6818.181818181818,75.0
Plot  Area,Ready To Move,Hennur Road,2,276.0,3.0,3.0,8333.333333333334,23.0
Super built-up  Area,Ready To Move,Thanisandra,3,1427.0,3.0,2.0,8409.250175192712,120.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3,2061.0,3.0,1.0,9704.02717127608,200.0
Super built-up  Area,18-Mar,Hebbal,4,5611.5,4.0,0.0,8500.400962309543,477.0
Built-up  Area,Ready To Move,Shampura,4,2650.0,4.0,2.0,5660.377358490566,150.0
Super built-up  Area,22-Dec,Devanahalli,3,1282.0,2.0,2.0,5344.773790951638,68.52
Built-up  Area,Ready To Move,Kadugodi,2,1050.0,2.0,1.0,3238.095238095238,34.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3,1600.0,3.0,2.0,4062.5,65.0
Super built-up  Area,22-Jan,Vajarahalli,2,945.0,2.0,1.0,5714.285714285715,54.0
Super built-up  Area,Ready To Move,Hormavu,2,1500.0,2.0,1.0,5200.0,78.0
Plot  Area,Ready To Move,Vishwapriya Layout,7,950.0,7.0,0.0,12105.263157894737,115.0
Built-up  Area,Ready To Move,Peenya,3,1870.0,3.0,3.0,5882.35294117647,110.0
Plot  Area,Ready To Move,Sarjapur,3,1600.0,3.0,1.0,4687.5,75.0
Super built-up  Area,Ready To Move,Electronic City,2,880.0,1.0,1.0,1875.0,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4,1200.0,4.0,0.0,17500.0,210.0
Super built-up  Area,Ready To Move,Kudlu Gate,3,1535.0,3.0,2.0,5407.166123778502,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2,950.0,2.0,1.0,6000.0,57.0
Super built-up  Area,18-Aug,Devanahalli,2,1360.0,2.0,1.0,4779.411764705882,65.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2,1073.5,2.0,0.0,5030.740568234746,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3,1280.0,3.0,1.0,3937.5,50.4
Super built-up  Area,19-Jan,Chandra Layout,3,1260.0,2.0,2.0,6750.0,85.05
Built-up  Area,Ready To Move,Hennur Road,8,5000.0,8.0,2.0,5000.0,250.0
Super built-up  Area,19-Dec,Yelahanka,5,3050.0,5.0,1.0,6983.606557377049,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3,1563.05,3.0,1.0,6717.635392341896,105.0
Super built-up  Area,Ready To Move,ISRO Layout,2,1000.0,2.0,1.0,6000.0,60.0
Super built-up  Area,17-Jul,Anandapura,2,1167.0,2.0,1.0,3749.7857754927163,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7,4000.0,7.0,2.0,5625.0,225.0
Super built-up  Area,Ready To Move,Kothanur,3,1828.0,3.0,2.0,6017.505470459519,110.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,890.0,2.0,1.0,3932.5842696629215,35.0
Super built-up  Area,Ready To Move,Basavanapura,3,1612.0,3.0,3.0,2899.5037220843674,46.74
Plot  Area,Ready To Move,Dinnur,6,1034.0,5.0,2.0,17891.682785299807,185.0
Super built-up  Area,19-Apr,Mysore Road,3,1710.0,4.0,2.0,5339.766081871345,91.31
Super built-up  Area,Ready To Move,Kannamangala,2,957.0,2.0,1.0,6060.606060606061,58.0
Super built-up  Area,18-May,Devarachikkanahalli,3,1250.0,2.0,3.0,3520.0,44.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3,2795.0,4.0,2.0,8407.871198568873,235.0
Super built-up  Area,Ready To Move,Hulimavu,2,1125.0,2.0,2.0,4444.444444444444,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2,1020.0,2.0,1.0,3000.0,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1200.0,2.0,2.0,4166.666666666667,50.0
Super built-up  Area,Ready To Move,Thanisandra,3,1735.0,3.0,3.0,7780.979827089337,135.0
Super built-up  Area,Ready To Move,Thanisandra,3,2050.0,3.0,1.0,7073.170731707317,145.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4,3750.0,4.0,0.0,20266.666666666668,760.0
Built-up  Area,Ready To Move,Yarandahalli,3,1350.0,2.0,3.0,3555.5555555555557,48.0
Super built-up  Area,18-May,Hosa Road,2,1063.0,2.0,1.0,3010.348071495767,32.0
Super built-up  Area,Ready To Move,Keshava Nagar,3,1904.0,3.0,1.0,7878.151260504202,150.0
Built-up  Area,Ready To Move,Whitefield,4,4200.0,4.0,2.0,10000.0,420.0
Super built-up  Area,Ready To Move,RMV Extension,3,2000.0,3.0,1.0,8750.0,175.0
Super built-up  Area,18-Dec,Sarjapur,2,1242.5,2.0,0.0,3500.201207243461,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3,1425.0,2.0,2.0,5263.1578947368425,75.0
Super built-up  Area,Ready To Move,Electronic City,3,1500.0,2.0,1.0,4300.0,64.5
Built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,1.0,5660.377358490566,60.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3,1470.0,2.0,2.0,4761.9047619047615,70.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6,1300.0,6.0,0.0,7615.384615384615,99.0
Super built-up  Area,Ready To Move,Attibele,1,450.0,1.0,1.0,2444.4444444444443,11.0
Super built-up  Area,18-Apr,Electronic City,2,1152.0,2.0,1.0,5598.958333333333,64.5
Super built-up  Area,Ready To Move,Electronic City,3,1350.0,2.0,1.0,4148.148148148148,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3,1550.0,3.0,3.0,4193.548387096775,65.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3,1500.0,3.0,2.0,6666.666666666667,100.0
Plot  Area,Ready To Move,Kumaraswami Layout,5,600.0,3.0,2.0,14166.666666666666,85.0
Plot  Area,Ready To Move,Nagavara,1,400.0,1.0,0.0,3500.0,14.0
Super built-up  Area,Ready To Move,Malleshwaram,1,705.0,1.0,2.0,9503.54609929078,67.0
Built-up  Area,Ready To Move,Electronic City,2,770.0,1.0,1.0,4675.324675324675,36.0
Super built-up  Area,Ready To Move,Hulimavu,2,1242.0,2.0,3.0,4106.280193236715,51.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,1700.0,3.0,2.0,9117.64705882353,155.0
Super built-up  Area,Ready To Move,Thanisandra,3,2144.0,3.0,2.0,6763.059701492537,145.0
Super built-up  Area,21-Jun,Vijayanagar,3,1704.0,3.0,2.0,6455.399061032864,110.0
Super built-up  Area,Ready To Move,Electronic City,2,1070.0,2.0,1.0,4859.813084112149,52.0
Plot  Area,Ready To Move,8th block Koramangala,3,1846.0,3.0,2.0,16251.354279523293,300.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2,1340.0,2.0,2.0,4156.7164179104475,55.7
Built-up  Area,Ready To Move,Electronic City,2,1025.0,2.0,1.0,4487.804878048781,46.0
Super built-up  Area,Ready To Move,KR Puram,2,1277.5,2.0,0.0,4446.183953033268,56.8
Super built-up  Area,Ready To Move,Marathahalli,2,1200.0,2.0,2.0,4333.333333333333,52.0
Built-up  Area,18-Dec,Kanakpura Road,4,2250.0,4.0,1.0,4888.888888888889,110.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,1550.0,2.0,3.0,5161.290322580645,80.0
Plot  Area,Ready To Move,Bellandur,4,1200.0,5.0,2.0,27083.333333333332,325.0
Plot  Area,Ready To Move,Ejipura,7,1800.0,7.0,1.0,13888.888888888889,250.0
Super built-up  Area,Ready To Move,Marathahalli,2,1200.0,2.0,2.0,5000.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,2,1327.0,2.0,2.0,7385.079125847777,98.0
Super built-up  Area,Ready To Move,Kothanur,2,1186.0,2.0,2.0,4890.387858347386,58.0
Built-up  Area,Ready To Move,MS Pallya,3,1783.0,3.0,1.0,6449.8037016264725,115.0
Super built-up  Area,Ready To Move,HSR Layout,3,1400.0,3.0,2.0,4000.0,56.0
Super built-up  Area,Ready To Move,Nagasandra,2,980.0,2.0,1.0,4897.959183673469,48.0
Super built-up  Area,Ready To Move,EPIP Zone,2,1285.0,2.0,2.0,6381.322957198444,82.0
Super built-up  Area,Ready To Move,Langford Town,3,912.0,2.0,1.0,7675.438596491228,70.0
Built-up  Area,Ready To Move,Whitefield,2,1225.0,2.0,2.0,3885.714285714286,47.6
Super built-up  Area,Ready To Move,Whitefield,2,1075.0,2.0,1.0,4930.232558139535,53.0
Built-up  Area,Ready To Move,Kadugodi,3,1260.0,2.0,2.0,4285.714285714285,54.0
Super built-up  Area,Ready To Move,Yelahanka,3,1282.0,2.0,2.0,3798.751950078003,48.7
Super built-up  Area,Ready To Move,Kogilu,3,1909.0,3.0,2.0,4609.743321110529,88.0
Super built-up  Area,Ready To Move,Panathur,2,1359.0,2.0,1.0,6401.766004415011,87.0
Built-up  Area,Ready To Move,Nagondanahalli,2,1207.0,2.0,2.0,3603.976801988401,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4,1736.0,6.0,0.0,10944.700460829494,190.0
Super built-up  Area,20-May,1st Block Jayanagar,4,2850.0,4.0,1.0,15017.543859649122,428.0
Super built-up  Area,Ready To Move,Kammasandra,3,1595.0,3.0,2.0,4075.2351097178685,65.0
Built-up  Area,18-Jun,"Off Sarjapur Road,",3,1798.0,3.0,2.0,4949.944382647386,89.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1475.0,3.0,2.0,5307.796610169492,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3,1580.0,3.0,3.0,6329.113924050633,100.0
Super built-up  Area,Ready To Move,Dasarahalli,2,1295.0,2.0,1.0,5019.305019305019,65.0
Built-up  Area,Ready To Move,Magadi Road,6,3600.0,6.0,0.0,3916.6666666666665,141.0
Super built-up  Area,Ready To Move,Electronic City,1,589.0,1.0,1.0,4584.040747028863,27.0
Super built-up  Area,Ready To Move,Ngef Layout,3,1415.0,3.0,3.0,5512.367491166077,78.0
Super built-up  Area,18-Dec,Sarjapur  Road,3,1787.0,3.0,2.0,5500.279798545048,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1787.0,3.0,2.0,6994.963626189144,125.0
Super built-up  Area,Ready To Move,Koramangala,3,1475.0,2.0,3.0,6101.6949152542375,90.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4,2000.0,4.0,1.0,3775.0,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2,984.0,2.0,1.0,4500.0,44.28
Super built-up  Area,19-Dec,Devanahalli,3,1630.0,2.0,2.0,4590.184049079754,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3,2405.0,4.0,2.0,10810.81081081081,260.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1080.0,2.0,2.0,6666.666666666667,72.0
Plot  Area,Ready To Move,Shantiniketan Layout,2,1500.0,2.0,1.0,7666.666666666667,115.0
Super built-up  Area,Ready To Move,Hebbal,3,1900.0,3.0,2.0,6263.1578947368425,119.0
Super built-up  Area,19-Aug,Dommasandra,2,805.0,2.0,1.0,2750.3105590062114,22.14
Super built-up  Area,Ready To Move,Budigere,2,1153.0,2.0,2.0,4891.587163920208,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,1148.0,2.0,2.0,5226.480836236934,60.0
Super built-up  Area,Ready To Move,Mylasandra,2,1110.0,2.0,2.0,4954.954954954955,55.0
Built-up  Area,Ready To Move,Electronic City,2,1100.0,2.0,2.0,3818.181818181818,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2,1290.0,2.0,2.0,8527.131782945737,110.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3,1500.0,2.0,1.0,4333.333333333333,65.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2,1080.0,2.0,2.0,3611.1111111111113,39.0
Super built-up  Area,21-Jun,Vijayanagar,3,1933.0,3.0,1.0,6673.564407656492,129.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,3500.0,5.0,2.0,4285.714285714285,150.0
Built-up  Area,Ready To Move,Kullappa Colony,2,1060.0,2.0,2.0,5660.377358490566,60.0
Super built-up  Area,18-Aug,Chandapura,1,645.0,1.0,1.0,2550.3875968992247,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8,2600.0,8.0,2.0,6923.076923076923,180.0
Super built-up  Area,18-Sep,Chandapura,1,645.0,1.0,1.0,2550.3875968992247,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3,1644.0,3.0,3.0,5109.489051094891,84.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2,1285.0,2.0,3.0,5642.023346303502,72.5
Plot  Area,Ready To Move,Electronic City,3,1200.0,3.0,1.0,7500.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2,910.0,2.0,1.0,4395.604395604396,40.0
Super built-up  Area,Ready To Move,Kothanur,3,1577.0,3.0,1.0,4438.807863031072,70.0
Plot  Area,17-May,Meenakunte,3,4050.0,3.0,2.0,6913.580246913581,280.0
Super built-up  Area,Ready To Move,OMBR Layout,3,2420.0,3.0,2.0,7644.628099173554,185.0
Super built-up  Area,Ready To Move,Chandapura,2,800.0,1.0,1.0,2500.0,20.0
Built-up  Area,Ready To Move,Anand Nagar,2,1060.0,2.0,2.0,5188.679245283019,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1270.0,2.0,2.0,7322.834645669292,93.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2,900.0,2.0,2.0,2500.0,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2,1280.0,2.0,1.0,5390.625,69.0
Plot  Area,Ready To Move,Horamavu Agara,4,1200.0,2.0,0.0,7916.666666666667,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,2,1025.0,2.0,2.0,3512.1951219512193,36.0
Super built-up  Area,17-Jun,Electronic City,2,1108.0,2.0,1.0,5685.9205776173285,63.0
Plot  Area,Ready To Move,MCECHS  layout,5,1200.0,5.0,2.0,14166.666666666666,170.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3,3045.0,3.0,2.0,5582.922824302134,170.0
Plot  Area,Ready To Move,Ambedkar Nagar,4,2900.0,3.0,2.0,10344.827586206897,300.0
Super built-up  Area,Ready To Move,Vijayanagar,3,1500.0,3.0,2.0,5033.333333333333,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1295.0,2.0,2.0,3389.96138996139,43.9
Super built-up  Area,Ready To Move,Budigere,2,1162.0,2.0,1.0,5154.9053356282275,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1035.0,2.0,2.0,4753.623188405797,49.2
Built-up  Area,Ready To Move,Attibele,4,1600.0,4.0,0.0,3300.0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,1464.0,3.0,2.0,3142.0765027322404,46.0
Super built-up  Area,18-Oct,Hennur Road,3,1866.0,2.0,2.0,3300.10718113612,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2,700.0,1.0,1.0,3714.285714285714,26.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1804.0,3.0,2.0,6651.884700665189,120.0
Super built-up  Area,Ready To Move,Sarjapur,2,913.0,2.0,1.0,3504.9288061336256,32.0
Super built-up  Area,21-Dec,Talaghattapura,3,1868.0,3.0,2.0,7012.847965738758,131.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,883.0,2.0,1.0,5096.262740656852,45.0
Plot  Area,Ready To Move,Sundara Nagar,2,900.0,2.0,1.0,12222.222222222223,110.0
Super built-up  Area,Ready To Move,Kogilu,3,1664.0,2.0,3.0,4444.110576923077,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3,2026.0,3.0,2.0,6515.301085883514,132.0
