area_type,availability,location,bhk,total_sqft,bath,balcony,price,latitude,longitude,distance_school_km,distance_hospital_km,distance_college_km,distance_bus_stop_km,distance_railway_station_km,distance_shopping_km,distance_bank_km,distance_park_km
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1070.0,2.0,1.0,45.5,12.8401734,77.6595099,1.277158672335714,0.2949821891085607,0.6127979811004468,0.09764559736316251,1.4450666438264133,0.4613951458476637,0.23678083318205081,0.31207864645720335
Super built-up  Area,Ready To Move,Kundalahalli,3,1724.0,3.0,2.0,125.0,12.977594,77.7155586,3.4372585651990435,3.61257513853477,4.489068646575115,3.7374338766290265,4.796446676406811,3.732445900028872,3.759748905277583,3.4203216346358287
Super built-up  Area,Ready To Move,Chikkalasandra,3,1290.0,2.0,2.0,56.12,12.9121916,77.5476337,0.41395097723556096,0.5696991130511672,0.8745272158200242,0.2722963169901819,2.812507893277144,0.16891755317251048,0.4198491877871123,0.09560872752338488
Built-up  Area,Ready To Move,Uttarahalli,2,1143.0,2.0,2.0,45.0,12.9055682,77.5455438,0.22746733735745564,0.1797218010389305,0.30548424659670886,0.16944100445149374,2.4544857509356146,0.1655727908954121,0.16221229454459354,0.5454936070028436
Built-up  Area,Ready To Move,Murugeshpalya,2,1296.0,2.0,2.0,81.0,12.9589406,77.6555917,0.4363712520036892,0.13787280669783977,0.32012851402872655,0.06397336889139014,2.8311097187621144,0.13187721698987165,0.08175335995234048,0.22621354216922174
Super built-up  Area,19-Dec,Sarjapur  Road,3,1254.0,3.0,2.0,38.0,12.9244884,77.6451418,0.550051530065824,0.333797017285714,0.921470087972465,0.22889400708913904,2.5438481077094526,0.9092269164168125,0.21954106064659112,0.507928990278245
Plot  Area,Ready To Move,Yelahanka,1,660.0,1.0,0.0,48.0,13.1006982,77.5963454,0.7400163131677461,0.08308136466615322,0.47623530864970526,0.17259552282793286,0.679668262561021,0.32425978467593447,0.314869840130493,0.7223276534545
Super built-up  Area,19-Sep,Kanakpura Road,2,1330.74,2.0,2.0,91.79,12.8856913,77.5526564,0.17628447036741576,0.35909163872274674,0.4042700117462905,0.12475113167610605,0.1169952701600468,0.003670001069312825,0.3045554088015798,0.2819368110956199
Super built-up  Area,Ready To Move,Doddathoguru,2,970.0,2.0,0.0,33.0,12.8505644,77.6466948,0.674474501859915,0.46167426124300304,1.71770106748189,0.8315226258097161,1.9152275310587465,0.7390641654342885,1.0268695010584021,1.0584743402029582
Super built-up  Area,20-Sep,Whitefield,2,1459.0,2.0,1.0,94.82,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Built-up  Area,Ready To Move,Whitefield,3,2010.0,3.0,2.0,91.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Super built-up  Area,Ready To Move,Yelahanka,3,1600.0,2.0,3.0,75.0,13.1006982,77.5963454,0.7400163131677461,0.08308136466615322,0.47623530864970526,0.17259552282793286,0.679668262561021,0.32425978467593447,0.314869840130493,0.7223276534545
Super built-up  Area,Ready To Move,Begur Road,2,1200.0,2.0,2.0,44.0,12.8742536,77.6260073,0.056474013661095786,0.42613645236084396,1.2242752532612462,0.042690067125164245,2.168566959736553,1.005964049081042,1.0703175257166109,0.8167247915167783
Built-up  Area,20-Feb,Devanahalli,4,3210.0,2.0,2.0,192.0,13.2483502,77.7134377,6.549289984507282,12.533317570955434,7.979237635066678,4.490923337380172,5.817949607294197,12.97545642311843,9.722288303693707,4.62723928490463
Plot  Area,Ready To Move,Whitefield,4,5700.0,5.0,3.0,650.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Built-up  Area,Ready To Move,Varthur,2,1160.0,2.0,2.0,44.0,12.9406508,77.746988,7.1165137771058795,7.725574827253189,8.577738752188166,7.164491801961881,9.991247635301107,7.341112357930915,7.505394732888036,6.914817391835138
Built-up  Area,Ready To Move,Bommanahalli,8,3000.0,8.0,0.0,140.0,12.9034581,77.6230028,0.2736795785880728,0.5045346228718929,0.793584192163184,0.47888989670819276,0.8805276366104136,0.5764571202346397,0.2484744206188189,0.23339950776327592
Super built-up  Area,Ready To Move,Doddathoguru,2,1100.0,2.0,1.0,62.0,12.8505644,77.6466948,0.674474501859915,0.46167426124300304,1.71770106748189,0.8315226258097161,1.9152275310587465,0.7390641654342885,1.0268695010584021,1.0584743402029582
Super built-up  Area,18-Apr,Gunjur,2,1140.0,2.0,3.0,43.0,12.9209772,77.7361016,6.230479013221471,5.946061923233398,7.013421252417034,6.004740927437107,10.590302627790289,6.318809348967368,5.887095047328847,5.906340925142925
Super built-up  Area,Ready To Move,Marathahalli,2,1220.0,2.0,1.0,57.0,12.9552572,77.6984163,1.9763180952706894,2.681284746231662,3.7308055503773776,1.736714038869248,5.449555244178608,2.154539436767148,2.0406405171205395,2.7084301339945736
Super built-up  Area,Ready To Move,Kanakpura Road,2,1005.0,2.0,1.0,36.68,12.8856913,77.5526564,0.17628447036741576,0.35909163872274674,0.4042700117462905,0.12475113167610605,0.1169952701600468,0.003670001069312825,0.3045554088015798,0.2819368110956199
Super built-up  Area,20-Aug,Begur Road,2,1358.0,2.0,1.0,80.58,12.8742536,77.6260073,0.056474013661095786,0.42613645236084396,1.2242752532612462,0.042690067125164245,2.168566959736553,1.005964049081042,1.0703175257166109,0.8167247915167783
Super built-up  Area,Ready To Move,Hegde Nagar,3,1569.0,3.0,1.0,101.0,13.0720352,77.6333905,0.4321527354137623,0.2177405617128841,0.27254484577683974,0.03558517451058777,5.800058696826071,0.8076694115370113,0.5588373906820664,0.44647587898652
Super built-up  Area,18-Apr,Haralur Road,2,1240.0,2.0,1.0,70.0,12.9018012,77.6641767,0.26052860625141244,0.8056174332812901,1.2633708719391186,1.3074632901105385,3.0105814684271737,0.7103538745078084,0.8326722190435104,0.044872299305229076
Super built-up  Area,Ready To Move,Hennur Road,3,2089.0,3.0,2.0,140.0,13.0377061,77.6303636,0.473530847830793,0.3821074170661665,0.5580314319572223,0.35389542583778133,3.552063019933313,0.8905854431412655,0.46861155678275396,0.35016381955358955
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1150.0,2.0,3.0,40.0,12.8658068,77.5911918,0.35160225792598515,0.8962946840071055,0.1257904822159696,0.06985893351805339,4.024084225424872,0.6995801685323361,0.7181445481523089,0.2721988761748449
Built-up  Area,18-Oct,Hennur Road,4,3203.5,2.0,2.0,224.5,13.0377061,77.6303636,0.473530847830793,0.3821074170661665,0.5580314319572223,0.35389542583778133,3.552063019933313,0.8905854431412655,0.46861155678275396,0.35016381955358955
Super built-up  Area,19-Mar,Yelahanka,2,1326.0,2.0,2.0,78.0,13.1006982,77.5963454,0.7400163131677461,0.08308136466615322,0.47623530864970526,0.17259552282793286,0.679668262561021,0.32425978467593447,0.314869840130493,0.7223276534545
Super built-up  Area,Ready To Move,Garudachar Palya,3,1325.0,2.0,2.0,60.8,12.9899098,77.7011259,2.433257031113028,2.2740615159401933,2.4839582717006854,2.0069827830275706,2.7736362887426256,2.2532881422349074,2.3680929686722094,2.053248458245193
Super built-up  Area,Ready To Move,EPIP Zone,3,1499.0,5.0,2.0,102.0,12.9781922,77.7246451,4.423256384810452,4.588961642106565,5.337369505498862,4.70328415296564,5.633191707202154,4.6956976525790495,4.740915709976174,4.407032049692665
Built-up  Area,Ready To Move,Hegde Nagar,6,3000.0,7.0,2.0,210.0,13.0720352,77.6333905,0.4321527354137623,0.2177405617128841,0.27254484577683974,0.03558517451058777,5.800058696826071,0.8076694115370113,0.5588373906820664,0.44647587898652
Super built-up  Area,Ready To Move,Kanakpura Road,3,1665.0,3.0,2.0,88.0,12.8856913,77.5526564,0.17628447036741576,0.35909163872274674,0.4042700117462905,0.12475113167610605,0.1169952701600468,0.003670001069312825,0.3045554088015798,0.2819368110956199
Super built-up  Area,17-Sep,Dasanapura,2,708.0,2.0,2.0,37.0,12.7467724,77.7742876,11.525588710239239,13.613660941460923,13.725421336604231,11.43003175991539,13.607932790621817,14.80885189354942,12.333054521451448,10.16191113497603
Super built-up  Area,Ready To Move,Kasavanhalli,2,1060.0,2.0,2.0,58.06,12.9047595,77.6759172,1.0060713280708131,0.20784634631327456,1.021387060679054,0.013608615869114292,4.293022625742665,0.3553304241600829,0.0,0.25553982061653996
Built-up  Area,Ready To Move,Sanjay nagar,2,1000.0,2.0,2.0,70.0,12.9578658,77.6958748,1.801737662017328,2.2815662089982873,3.4503568372524107,1.5074578394044118,5.0734176782702605,1.7596683917667755,1.6585209432603962,2.3153445716884473
Super built-up  Area,18-Dec,Electronic City,2,1000.0,2.0,1.0,28.88,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Super built-up  Area,17-Aug,Thanisandra,2,1296.0,2.0,3.0,80.0,13.0522499,77.6316152,0.410363084773661,0.24472908327671847,1.2778236931980078,0.04791163141704419,5.0312996369841585,0.5416996553189029,0.2606092527009326,0.8542118193167441
Plot  Area,Ready To Move,Kengeri,4,2894.0,4.0,1.0,245.0,12.9176571,77.4837568,0.45039213729003325,0.3716515779442138,0.36458084977373917,0.1561736051713814,0.0,0.7852955849738819,0.19667984711288022,0.2382868704986397
Super built-up  Area,Ready To Move,Yeshwanthpur,3,2502.0,3.0,3.0,138.0,13.0176937,77.5555009,0.32013667855034955,0.38314985707260835,0.2277449353069229,0.19395800954729434,0.375797669365174,0.6313591581985624,0.2753812414499764,0.21800240390908213
Built-up  Area,Ready To Move,Chandapura,2,650.0,1.0,1.0,17.0,12.8009043,77.7114908,4.187803021635377,4.529026687262563,4.65683198650339,4.12216693565785,4.5216455356000615,5.882897112778362,3.3406121976309606,3.5626602699561047
Plot  Area,Ready To Move,Kothanur,3,2400.0,2.0,1.0,150.0,12.8701259,77.5820178,0.13623203774081574,1.2046900818962247,0.7331466380014178,0.12556529125819263,2.9646698856989215,0.6050855243904807,0.18612212320455201,0.4769488643027855
Built-up  Area,Ready To Move,Nagarbhavi,3,1630.0,2.0,1.0,98.0,12.9512353,77.519054,0.5285359673626663,0.7077068413276778,0.14494401505787738,0.17902192398217914,1.1264792372564973,1.0952339235176647,0.5121896588626763,0.03691787206038448
Built-up  Area,Ready To Move,Rajaji Nagar,3,1640.0,3.0,2.0,229.0,12.9945223,77.5543647,0.1199188542909752,0.09834838975715171,0.17153124133757655,0.17092348289892148,0.5233865071124423,0.335860786680838,0.12830270321971304,0.25638441398699574
Super built-up  Area,19-Apr,Devanahalli,2,1260.0,2.0,2.0,66.78,13.2483502,77.7134377,6.549289984507282,12.533317570955434,7.979237635066678,4.490923337380172,5.817949607294197,12.97545642311843,9.722288303693707,4.62723928490463
Super built-up  Area,Ready To Move,Whitefield,2,1116.0,2.0,1.0,51.91,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Super built-up  Area,Ready To Move,Electronic City,3,1530.0,2.0,1.0,45.9,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Built-up  Area,Ready To Move,Ramamurthy Nagar,4,3700.0,4.0,1.0,225.0,13.0120218,77.6777817,0.22042386503118858,0.1005038444794736,0.1691032550520365,0.1340673492664106,1.3006772619759457,0.5160412779346294,0.12360393281870569,0.7959661107576899
Built-up  Area,Ready To Move,Sarjapur  Road,3,2497.0,3.0,2.0,140.0,12.9244884,77.6451418,0.550051530065824,0.333797017285714,0.921470087972465,0.22889400708913904,2.5438481077094526,0.9092269164168125,0.21954106064659112,0.507928990278245
Super built-up  Area,Ready To Move,Kengeri,3,1540.0,2.0,3.0,64.0,12.9176571,77.4837568,0.45039213729003325,0.3716515779442138,0.36458084977373917,0.1561736051713814,0.0,0.7852955849738819,0.19667984711288022,0.2382868704986397
Super built-up  Area,18-Dec,Thanisandra,3,1436.0,3.0,1.0,74.75,13.0522499,77.6316152,0.410363084773661,0.24472908327671847,1.2778236931980078,0.04791163141704419,5.0312996369841585,0.5416996553189029,0.2606092527009326,0.8542118193167441
Super built-up  Area,18-Jun,Malleshwaram,2,1100.0,2.0,2.0,75.0,13.0027353,77.5703253,0.06869850496893412,0.23949305308364782,0.15889442328317963,0.09434804742875061,0.7781113621069643,0.10958869015145609,0.10851282407423421,0.015784245212288772
Super built-up  Area,Ready To Move,Akshaya Nagar,3,2061.0,3.0,1.0,200.0,13.0985378,77.5656142,0.5569682068188957,0.19792030381618067,0.8270087041858157,0.23760923351486987,2.935581932817309,0.2509835001185981,0.09590524300909908,0.5055643239727937
Super built-up  Area,18-Mar,Hebbal,4,5611.5,4.0,0.0,477.0,13.0382184,77.5919,0.6663305616905927,0.4312661909280826,0.17286325144917672,0.3075766141578904,0.778769607325326,0.6186249219028057,0.44400793372543573,0.3618570896158307
Super built-up  Area,22-Dec,Devanahalli,3,1282.0,2.0,2.0,68.52,13.2483502,77.7134377,6.549289984507282,12.533317570955434,7.979237635066678,4.490923337380172,5.817949607294197,12.97545642311843,9.722288303693707,4.62723928490463
Built-up  Area,Ready To Move,Kadugodi,2,1050.0,2.0,1.0,34.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Built-up  Area,Ready To Move,LB Shastri Nagar,3,1600.0,3.0,2.0,65.0,12.9660384,77.6708961,0.48431144770691487,0.571875653395561,0.9996697091689033,0.7385926001426153,3.399180437462736,0.2192674304716414,0.8707044048299912,0.20243606542862264
Plot  Area,Ready To Move,Sarjapur,3,1600.0,3.0,1.0,75.0,12.9694037,77.5870258,0.4140344293043858,0.17534332167281053,0.1733188309069916,0.044365151798211905,0.6450195640072728,1.0183560977358488,0.1549724279444084,0.10827164743390591
Super built-up  Area,Ready To Move,Kudlu Gate,3,1535.0,3.0,2.0,83.0,12.8895614,77.63947,0.17431741402220735,0.511018167137731,1.5525671927790887,0.002200202358764254,0.04902157924628152,1.1545924358216544,0.05096273025703034,0.2486103804141625
Built-up  Area,Ready To Move,Kanakpura Road,2,950.0,2.0,1.0,57.0,12.8856913,77.5526564,0.17628447036741576,0.35909163872274674,0.4042700117462905,0.12475113167610605,0.1169952701600468,0.003670001069312825,0.3045554088015798,0.2819368110956199
Super built-up  Area,18-Aug,Devanahalli,2,1360.0,2.0,1.0,65.0,13.2483502,77.7134377,6.549289984507282,12.533317570955434,7.979237635066678,4.490923337380172,5.817949607294197,12.97545642311843,9.722288303693707,4.62723928490463
Super built-up  Area,19-Mar,8th Phase JP Nagar,2,1073.5,2.0,0.0,54.005,12.9119148,77.5798871,0.26936846322579466,0.10089845663762421,0.2517206346650523,0.16380304872013168,0.7744389499785099,0.15124264620672434,0.12409308286108027,0.37314201959663995
Super built-up  Area,18-May,Bommasandra Industrial Area,3,1280.0,3.0,1.0,50.4,12.8137512,77.6953367,1.9294793255595617,2.269153746285885,2.4479790779187183,1.867858228008593,2.275733435450269,3.687006371351602,1.2672382586075859,2.552334779631604
Built-up  Area,Ready To Move,Hennur Road,8,5000.0,8.0,2.0,250.0,13.0377061,77.6303636,0.473530847830793,0.3821074170661665,0.5580314319572223,0.35389542583778133,3.552063019933313,0.8905854431412655,0.46861155678275396,0.35016381955358955
Super built-up  Area,19-Dec,Yelahanka,5,3050.0,5.0,1.0,213.0,13.1006982,77.5963454,0.7400163131677461,0.08308136466615322,0.47623530864970526,0.17259552282793286,0.679668262561021,0.32425978467593447,0.314869840130493,0.7223276534545
Super built-up  Area,Ready To Move,Kasavanhalli,3,1563.05,3.0,1.0,105.0,12.9047595,77.6759172,1.0060713280708131,0.20784634631327456,1.021387060679054,0.013608615869114292,4.293022625742665,0.3553304241600829,0.0,0.25553982061653996
Super built-up  Area,17-Jul,Anandapura,2,1167.0,2.0,1.0,43.76,13.0239276,77.6923621,1.2166685649137523,1.8021904114214102,1.914758160996712,0.9763863060887383,3.1097166334127357,1.0053991182004283,1.7678276302317668,1.3284998991343817
Super built-up  Area,Ready To Move,Kothanur,3,1828.0,3.0,2.0,110.0,12.8701259,77.5820178,0.13623203774081574,1.2046900818962247,0.7331466380014178,0.12556529125819263,2.9646698856989215,0.6050855243904807,0.18612212320455201,0.4769488643027855
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,890.0,2.0,1.0,35.0,12.9229728,77.4842926,0.5062297808577367,0.19799795420148733,0.8896133615391597,0.13004628098036985,0.5939245225932075,0.211344711423997,0.09949190550009841,0.11638266008441121
Super built-up  Area,19-Apr,Mysore Road,3,1710.0,4.0,2.0,91.31,12.9466619,77.5300896,0.5788115128967158,0.6618190101281162,1.1682124931747089,0.033568524770681146,0.009775817562846775,0.8890074312899762,0.5621645029464717,0.4358245136779913
Super built-up  Area,Ready To Move,Kannamangala,2,957.0,2.0,1.0,58.0,13.0154819,77.7631515,8.547306902879718,8.836050716027,9.089730904114202,8.595607502081695,9.421805614381364,8.621286560873864,9.066805691025186,8.509970231198924
Super built-up  Area,18-May,Devarachikkanahalli,3,1250.0,2.0,3.0,44.0,12.8931539,77.6219724,0.23613605574750288,0.24188159704838658,1.178082040218773,0.4494674896334166,1.4422467548807025,0.5189078291953547,0.5279565517447182,0.8691765071545874
Super built-up  Area,Ready To Move,Hulimavu,2,1125.0,2.0,2.0,50.0,12.8773486,77.6028031,0.026806895487796113,0.7976716289722167,0.5831084669087383,0.03598260592878961,4.107935562671974,0.5924276201088078,0.1467775569961667,0.7046970557706401
Super built-up  Area,18-Jul,Electronic City Phase II,2,1020.0,2.0,1.0,30.6,12.8473999,77.6724452,0.40035376911605053,0.5613837597166842,0.2831581071444159,0.07134709950426539,0.17319033420839355,0.5275315373939784,0.7746556960710721,0.3115820676750147
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1200.0,2.0,2.0,50.0,12.8658068,77.5911918,0.35160225792598515,0.8962946840071055,0.1257904822159696,0.06985893351805339,4.024084225424872,0.6995801685323361,0.7181445481523089,0.2721988761748449
Super built-up  Area,Ready To Move,Thanisandra,3,1735.0,3.0,3.0,135.0,13.0522499,77.6316152,0.410363084773661,0.24472908327671847,1.2778236931980078,0.04791163141704419,5.0312996369841585,0.5416996553189029,0.2606092527009326,0.8542118193167441
Super built-up  Area,Ready To Move,Thanisandra,3,2050.0,3.0,1.0,145.0,13.0522499,77.6316152,0.410363084773661,0.24472908327671847,1.2778236931980078,0.04791163141704419,5.0312996369841585,0.5416996553189029,0.2606092527009326,0.8542118193167441
Super built-up  Area,18-May,Hosa Road,2,1063.0,2.0,1.0,32.0,12.8707029,77.6554218,0.19806495567656382,0.14776812396772893,0.9597771781360781,0.19172217638472805,0.3225127138685338,1.0063906237744353,0.2622269592974148,0.5707994358678943
Built-up  Area,Ready To Move,Whitefield,4,4200.0,4.0,2.0,420.0,12.9957428,77.7579489,8.047841198757988,8.249512015392456,8.485854483351693,8.03198876835407,8.710151023951205,8.388561146721056,8.502612294785141,8.0445060765956
Super built-up  Area,18-Dec,Sarjapur,2,1242.5,2.0,0.0,43.49,12.9694037,77.5870258,0.4140344293043858,0.17534332167281053,0.1733188309069916,0.044365151798211905,0.6450195640072728,1.0183560977358488,0.1549724279444084,0.10827164743390591
Super built-up  Area,Ready To Move,Electronic City,3,1500.0,2.0,1.0,64.5,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Built-up  Area,Ready To Move,Electronic City,2,1060.0,2.0,1.0,60.0,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Super built-up  Area,Ready To Move,Attibele,1,450.0,1.0,1.0,11.0,12.7751249,77.7709216,10.58700821416088,11.493960954391754,11.46406778367029,11.047116780748098,11.410905569351502,12.606869197040096,10.393208551983479,9.396041615014086
Super built-up  Area,18-Apr,Electronic City,2,1152.0,2.0,1.0,64.5,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Super built-up  Area,Ready To Move,Electronic City,3,1350.0,2.0,1.0,56.0,12.8487599,77.648253,0.5497991746986419,0.4916467009997202,1.5462686960154677,0.7279636356231086,1.8660237815271066,0.6179376598195507,0.8996071490946965,0.7963196474814284
Super built-up  Area,Ready To Move,CV Raman Nagar,3,1550.0,3.0,3.0,65.0,12.9855509,77.668072,0.30008893353268357,0.6197536235335451,1.8151096669570843,0.4525172465286624,1.2199729051107155,0.0945665559897666,0.0,0.2920666591854569
Plot  Area,Ready To Move,Nagavara,1,400.0,1.0,0.0,14.0,13.0374647,77.623602,0.5002868566302833,0.05806321775492063,0.4371541380807525,0.05727692839834952,3.5510610877686832,0.9504949063178022,0.7057710953510654,0.48371003024387105
